student_id, scoala, math, limba romana, limba materna, medie, media materna
B10109249, Liceul Teoretic "Alexandru Vlahuţă", 7.15, 6.90, -, 7.03, 0
B10109451, Şcoala Gimnazială nr. 150, 9.30, 9.70, -, 9.5, 0
B10109617, Liceul Teoretic "Ștefan Odobleja", 6.90, 4.25, -, 5.58, 0
B10109820, Şcoala Gimnazială nr. 150, 9.25, 9.25, -, 9.25, 0
B10110060, Liceul Teoretic "Alexandru Vlahuţă", 8.30, 8.85, -, 8.57, 0
B10110287, Şcoala Gimnazială nr. 59, 4.60, 3.50, -, 4.05, 0
B10110454, Şcoala Gimnazială nr. 150, 7.50, 8.35, -, 7.92, 0
B10110872, Şcoala Gimnazială nr. 150, 9.65, 9.50, -, 9.57, 0
B10111130, Şcoala Gimnazială nr. 150, 7.65, 9.05, -, 8.35, 0
B10111155, Colegiul Naţional de Muzică "George Enescu", 6.70, 7.90, -, 7.3, 0
B10112378, Liceul Teoretic "Ion Barbu", 9.15, 9.55, -, 9.35, 0
B10115403, Şcoala Gimnazială nr. 150, 8.80, 7.50, -, 8.15, 0
B10116090, Şcoala Gimnazială nr. 150, 7.30, 7.65, -, 7.47, 0
B10116104, Școala Gimnazială ”Grigorie Ghica Voievod”, 9.20, 7.90, -, 8.55, 0
B10116288, Școala Gimnazială ”Grigorie Ghica Voievod”, 9.50, 9.35, -, 9.43, 0
B10116475, Școala Gimnazială ”Grigorie Ghica Voievod”, 8.35, 7.90, -, 8.12, 0
B10116636, Școala Gimnazială nr. 28, 4.05, 5.00, -, 4.53, 0
B10116807, Colegiul Național ”Cantemir Vodă”, 9.60, 10.00, -, 9.8, 0
B10116915, Școala Gimnazială ”Grigorie Ghica Voievod”, 8.70, 7.70, -, 8.2, 0
B10117086, Școala Gimnazială nr. 81, 7.70, 4.85, -, 6.28, 0
B10117187, Școala Gimnazială ”Grigorie Ghica Voievod”, 6.80, 5.00, -, 5.9, 0
B10117406, Școala Gimnazială ”Grigorie Ghica Voievod”, 6.75, 7.60, -, 7.17, 0
B10117553, Școala Gimnazială ”Grigorie Ghica Voievod”, 8.40, 8.55, -, 8.48, 0
B10117761, Școala Gimnazială ”Grigorie Ghica Voievod”, 8.05, 9.30, -, 8.68, 0
B10118139, Şcoala Gimnazială nr. 279, 6.65, 4.50, -, 5.58, 0
B10118272, Şcoala Gimnazială "Emil Racoviţă", 8.50, 6.10, -, 7.3, 0
B10118338, Liceul Internațional Ioanid, 9.60, 9.85, -, 9.72, 0
B10118546, Școala Gimnazială ”Grigorie Ghica Voievod”, 8.75, 8.70, -, 8.72, 0
B10118807, Școala Gimnazială ”Grigorie Ghica Voievod”, 9.05, 9.80, -, 9.43, 0
B10118974, Școala Gimnazială ”Grigorie Ghica Voievod”, 8.40, 8.10, -, 8.25, 0
B10119162, Şcoala Gimnazială nr. 194, 8.10, 6.20, -, 7.15, 0
B10119275, Școala Gimnazială ”Grigorie Ghica Voievod”, 8.35, 7.60, -, 7.97, 0
B10119459, Școala Gimnazială ”Grigorie Ghica Voievod”, 7.85, 6.55, -, 7.2, 0
B10120355, Școala Gimnazială nr. 28, 5.50, 2.50, -, 4.0, 0
B10120526, Școala Gimnazială ”Grigorie Ghica Voievod”, 8.35, 7.50, -, 7.92, 0
B10120633, Școala Gimnazială ”Grigorie Ghica Voievod”, 8.30, 8.70, -, 8.5, 0
B10120782, Colegiul Național Bilingv ”George Coșbuc”, 7.90, 9.60, -, 8.75, 0
B10121103, Școala Gimnazială ”Grigorie Ghica Voievod”, 7.90, 7.10, -, 7.5, 0
B10121229, Școala Gimnazială ”Grigorie Ghica Voievod”, 6.90, 5.20, -, 6.05, 0
B10121246, Şcoala Gimnazială nr. 150, 8.10, 8.75, -, 8.43, 0
B10121360, Colegiul Naţional "I.L.Caragiale", 9.55, 10.00, -, 9.78, 0
B10121422, Școala Gimnazială ”Grigorie Ghica Voievod”, 7.35, 6.55, -, 6.95, 0
B10121568, Școala Gimnazială nr. 79, 9.10, 8.75, -, 8.93, 0
B10121655, Școala Gimnazială ”Grigorie Ghica Voievod”, 9.35, 8.30, -, 8.82, 0
B10121775, Școala Gimnazială ”Grigorie Ghica Voievod”, 7.25, 7.65, -, 7.45, 0
B10122012, Colegiul Naţional "I.L.Caragiale", 9.75, 10.00, -, 9.88, 0
B10122017, Școala Gimnazială ”Grigorie Ghica Voievod”, 8.45, 8.75, -, 8.6, 0
B10122243, Școala Gimnazială ”Grigorie Ghica Voievod”, 7.40, 7.60, -, 7.5, 0
B10122264, Şcoala Gimnazială nr. 150, 7.90, 9.20, -, 8.55, 0
B10122314, Colegiul Naţional de Informatică "Tudor Vianu", 9.60, 10.00, -, 9.8, 0
B10122660, Școala Gimnazială ”Grigorie Ghica Voievod”, 6.55, 5.80, -, 6.17, 0
B10122857, Școala Gimnazială ”Grigorie Ghica Voievod”, 8.65, 4.80, -, 6.72, 0
B10122970, Şcoala Gimnazială "Sfintii Voievozi", 5.20, 5.25, -, 5.22, 0
B10123080, Școala Gimnazială nr. 39, 9.05, 8.35, -, 8.7, 0
B10123333, Colegiul Naţional de Informatică "Tudor Vianu", 9.30, 9.80, -, 9.55, 0
B10123346, Şcoala Gimnazială nr. 150, 9.50, 8.95, -, 9.22, 0
B10123670, Colegiul Național ”Spiru Haret”, 9.05, 9.70, -, 9.38, 0
B10123844, Școala Gimnazială nr.307, 8.45, 7.65, -, 8.05, 0
B10123994, Şcoala Gimnazială "Titu Maiorescu", 8.45, 8.00, -, 8.22, 0
B10124216, Școala Gimnazială nr. 79, 9.25, 9.50, -, 9.38, 0
B10124227, Școala Gimnazială nr. 27, 7.65, 7.70, -, 7.68, 0
B10124447, Şcoala Gimnazială nr. 150, 9.00, 8.65, -, 8.82, 0
B10124513, Liceul Teoretic "Alexandru Vlahuţă", 9.75, 10.00, -, 9.88, 0
B10124664, Şcoala Gimnazială nr. 117, 5.70, 5.65, -, 5.68, 0
B10124781, Şcoala Gimnazială "Geo Bogza", 5.55, 5.10, -, 5.32, 0
B10124833, Şcoala Gimnazială nr. 150, 7.65, 7.35, -, 7.5, 0
B10124942, Şcoala Gimnazială nr. 150, 7.75, 8.80, -, 8.28, 0
B10125033, Școala Gimnazială nr. 79, 8.60, 10.00, -, 9.3, 0
B10125129, Şcoala Gimnazială nr. 150, 9.55, 9.70, -, 9.62, 0
B10125294, Liceul Teoretic "Alexandru Vlahuţă", 8.90, 8.20, -, 8.55, 0
B10126074, Liceul Teoretic Internațional de Informatică Bucuresti, 9.15, 9.10, -, 9.12, 0
B10126306, Colegiul Național Bilingv ”George Coșbuc”, 9.45, 9.75, -, 9.6, 0
B10126550, Şcoala Gimnazială "Titu Maiorescu", 9.45, 8.25, -, 8.85, 0
B10126626, Liceul Greco-Catolic "Timotei Cipariu", 8.00, 5.90, -, 6.95, 0
B10126746, Şcoala Gimnazială "Sf. Nicolae", 8.90, 9.40, -, 9.15, 0
B10126978, Liceul Greco-Catolic "Timotei Cipariu", 7.85, 9.15, -, 8.5, 0
B10126980, Școala Gimnazială ”Grigorie Ghica Voievod”, 7.60, 6.00, -, 6.8, 0
B10127170, Colegiul Naţional de Muzică "George Enescu", 8.35, 6.45, -, 7.4, 0
B10127190, Școala Gimnazială ”Grigorie Ghica Voievod”, 5.20, 4.50, -, 4.85, 0
B10127331, Colegiul Naţional de Informatică "Tudor Vianu", 9.75, 10.00, -, 9.88, 0
B10127377, Colegiul Naţional "Ion Neculce", 9.40, 9.25, -, 9.32, 0
B10127656, Şcoala Gimnazială "Alexandru Costescu", 8.55, 9.10, -, 8.82, 0
B10127700, Şcoala Gimnazială "Sfintii Voievozi", 9.25, 6.50, -, 7.88, 0
B10127740, Liceul de Coregrafie "Floria Capsali", 8.00, 6.30, -, 7.15, 0
B10127766, Şcoala Gimnazială "George Călinescu", 5.20, 4.70, -, 4.95, 0
B10127785, Liceul Teoretic Bilingv ”Ita Wegman”, 9.15, 8.10, -, 8.62, 0
B10127863, Școala Gimnazială nr. 88, 8.80, 7.80, -, 8.3, 0
B10128118, Școala Gimnazială ”Grigorie Ghica Voievod”, 7.40, 8.25, -, 7.83, 0
B10128463, Școala Gimnazială nr. 88, 8.80, 9.45, -, 9.12, 0
B10128572, Liceul Greco-Catolic "Timotei Cipariu", 8.90, 8.15, -, 8.53, 0
B10128725, Liceul Greco-Catolic "Timotei Cipariu", 9.05, 8.05, -, 8.55, 0
B10128923, Colegiul Național ”Cantemir Vodă”, 9.25, 10.00, -, 9.62, 0
B10128927, Școala Gimnazială ”Grigorie Ghica Voievod”, 9.35, 8.30, -, 8.82, 0
B10129091, Școala Gimnazială "Șerban-Vodă", 9.75, 10.00, -, 9.88, 0
B10129132, Liceul Teoretic "Ion Barbu", 9.25, 9.10, -, 9.18, 0
B10129169, Liceul Teoretic "Ion Barbu", 9.25, 8.80, -, 9.03, 0
B10129203, Colegiul Naţional "Gheorghe Lazăr", 9.75, 10.00, -, 9.88, 0
B10129220, Liceul Teoretic "Ion Barbu", 9.50, 8.85, -, 9.18, 0
B10129235, Liceul Teoretic "Ion Barbu", 9.85, 9.95, -, 9.9, 0
B10129285, Liceul Teoretic "Ștefan Odobleja", 8.70, 9.40, -, 9.05, 0
B10129323, Liceul Teoretic "Ion Barbu", 7.75, 8.50, -, 8.12, 0
B10129329, Școala Gimnazială "Nicolae Labiș", 6.70, 6.30, -, 6.5, 0
B10129338, Liceul Teoretic "Ion Barbu", 9.85, 10.00, -, 9.93, 0
B10129371, Școala Gimnazială ”Grigorie Ghica Voievod”, 8.95, 8.75, -, 8.85, 0
B10129383, Colegiul Naţional "Grigore Moisil", 9.55, 9.80, -, 9.68, 0
B10129397, Colegiul Naţional "Grigore Moisil", 9.75, 10.00, -, 9.88, 0
B10129445, Şcoala Gimnazială "Pia Brătianu", 9.60, 9.10, -, 9.35, 0
B10129464, Şcoala Gimnazială nr. 128, 9.00, 7.85, -, 8.43, 0
B10129501, Liceul Teoretic "Ion Barbu", 9.15, 9.20, -, 9.18, 0
B10129620, Școala Gimnazială "Nicolae Labiș", 8.45, 9.25, -, 8.85, 0
B10129642, Liceul Teoretic "Ion Barbu", 9.20, 9.20, -, 9.2, 0
B10129796, Școala Gimnazială "Nicolae Labiș", 9.00, 10.00, -, 9.5, 0
B10129923, Şcoala Gimnazială "Herăstrău", 5.80, 7.60, -, 6.7, 0
B10129974, Liceul Teoretic "Ion Barbu", 9.15, 9.85, -, 9.5, 0
B10130008, Liceul Greco-Catolic "Timotei Cipariu", 7.20, 8.15, -, 7.68, 0
B10130026, Liceul Teoretic "Ion Barbu", 9.60, 10.00, -, 9.8, 0
B10130047, Complexul Educational Laude-Reut, 8.60, 7.80, -, 8.2, 0
B10130066, Şcoala Gimnazială nr. 142, 9.40, 8.90, -, 9.15, 0
B10130082, Liceul Teoretic "Ion Barbu", 9.25, 9.90, -, 9.57, 0
B10130101, Liceul Teoretic "Ion Barbu", 8.80, 7.00, -, 7.9, 0
B10130144, Liceul Teoretic "Ion Barbu", 9.90, 10.00, -, 9.95, 0
B10130182, Colegiul Naţional de Informatică "Tudor Vianu", 9.30, 10.00, -, 9.65, 0
B10130220, Şcoala Gimnazială nr. 179, 5.80, 6.90, -, 6.35, 0
B10130225, Școala Gimnazială "Nicolae Labiș", 8.25, 9.40, -, 8.82, 0
B10130238, Liceul Teoretic "Ion Barbu", 9.20, 9.35, -, 9.27, 0
B10130276, Liceul Teoretic "Ion Barbu", 8.85, 8.55, -, 8.7, 0
B10130312, Școala Gimnazială nr. 149, 8.75, 9.55, -, 9.15, 0
B10130350, Liceul Teoretic "Ion Barbu", 8.60, 8.20, -, 8.4, 0
B10130452, Liceul Teoretic "Ion Barbu", 9.15, 9.05, -, 9.1, 0
B10130470, Liceul ''Româno-Finlandez'', 9.30, 9.80, -, 9.55, 0
B10131004, Școala Gimnazială ”Grigorie Ghica Voievod”, 8.80, 9.25, -, 9.03, 0
B10131295, Colegiul Naţional "Grigore Moisil", 9.90, 10.00, -, 9.95, 0
B10131332, Şcoala Gimnazială "I. G. Duca", 9.35, 9.40, -, 9.38, 0
